Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Sat Dec 12 2015,8:00p,San Antonio Spurs,103,Atlanta Hawks,78,Box Score,,17752,Philips Arena,
Sat Dec 12 2015,8:00p,New Orleans Pelicans,94,Chicago Bulls,98,Box Score,,21605,United Center,
Sat Dec 12 2015,8:00p,Los Angeles Lakers,97,Houston Rockets,126,Box Score,,18456,Toyota Center,
Sat Dec 12 2015,8:30p,Washington Wizards,114,Dallas Mavericks,111,Box Score,,20088,American Airlines Center,
Sat Dec 12 2015,8:30p,Golden State Warriors,95,Milwaukee Bucks,108,Box Score,,18717,BMO Harris Bradley Center,
Sat Dec 12 2015,10:00p,New York Knicks,112,Portland Trail Blazers,110,Box Score,,19511,Moda Center,
Sun Dec 13 2015,3:30p,Minnesota Timberwolves,101,Phoenix Suns,108,Box Score,,16919,Talking Stick Resort Arena,
Sun Dec 13 2015,6:00p,Memphis Grizzlies,97,Miami Heat,100,Box Score,,19813,AmericanAirlines Arena,
Sun Dec 13 2015,6:00p,Philadelphia 76ers,76,Toronto Raptors,96,Box Score,,19800,Air Canada Centre,
Sun Dec 13 2015,7:00p,Utah Jazz,98,Oklahoma City Thunder,104,Box Score,OT,18203,Chesapeake Energy Arena,
Mon Dec 14 2015,7:00p,Toronto Raptors,90,Indiana Pacers,106,Box Score,,16598,Bankers Life Fieldhouse,
Mon Dec 14 2015,7:30p,Orlando Magic,105,Brooklyn Nets,82,Box Score,,12946,Barclays Center,
Mon Dec 14 2015,7:30p,Los Angeles Clippers,105,Detroit Pistons,103,Box Score,OT,13525,The Palace of Auburn Hills,
Mon Dec 14 2015,8:00p,Miami Heat,100,Atlanta Hawks,88,Box Score,,15039,Philips Arena,
Mon Dec 14 2015,8:00p,Philadelphia 76ers,96,Chicago Bulls,115,Box Score,,21166,United Center,
Mon Dec 14 2015,8:00p,Washington Wizards,95,Memphis Grizzlies,112,Box Score,,15397,FedEx Forum,
Mon Dec 14 2015,8:30p,Phoenix Suns,94,Dallas Mavericks,104,Box Score,,19822,American Airlines Center,
Mon Dec 14 2015,8:30p,Utah Jazz,81,San Antonio Spurs,118,Box Score,,18418,AT&T Center,
Mon Dec 14 2015,9:00p,Houston Rockets,108,Denver Nuggets,114,Box Score,,12022,Pepsi Center,
Mon Dec 14 2015,10:00p,New Orleans Pelicans,101,Portland Trail Blazers,105,Box Score,,19231,Moda Center,
Tue Dec 15 2015,7:30p,Cleveland Cavaliers,89,Boston Celtics,77,Box Score,,18624,TD Garden,
Tue Dec 15 2015,8:00p,Denver Nuggets,112,Minnesota Timberwolves,100,Box Score,,11323,Target Center,
Tue Dec 15 2015,10:00p,Houston Rockets,97,Sacramento Kings,107,Box Score,,17317,Sleep Train Arena,
Tue Dec 15 2015,10:30p,Milwaukee Bucks,95,Los Angeles Lakers,113,Box Score,,18997,STAPLES Center,
Wed Dec 16 2015,7:00p,Dallas Mavericks,81,Indiana Pacers,107,Box Score,,14824,Bankers Life Fieldhouse,
Wed Dec 16 2015,7:00p,Charlotte Hornets,98,Orlando Magic,113,Box Score,,16019,Amway Center,
Wed Dec 16 2015,7:30p,Miami Heat,104,Brooklyn Nets,98,Box Score,,15113,Barclays Center,
Wed Dec 16 2015,7:30p,Boston Celtics,116,Detroit Pistons,119,Box Score,,13120,The Palace of Auburn Hills,
Wed Dec 16 2015,7:30p,Minnesota Timberwolves,102,New York Knicks,107,Box Score,,19812,Madison Square Garden (IV),
Wed Dec 16 2015,8:00p,Philadelphia 76ers,106,Atlanta Hawks,127,Box Score,,14827,Philips Arena,
Wed Dec 16 2015,8:00p,Memphis Grizzlies,85,Chicago Bulls,98,Box Score,,21032,United Center,
Wed Dec 16 2015,8:00p,Portland Trail Blazers,90,Oklahoma City Thunder,106,Box Score,,18203,Chesapeake Energy Arena,
Wed Dec 16 2015,8:30p,Washington Wizards,95,San Antonio Spurs,114,Box Score,,18418,AT&T Center,
Wed Dec 16 2015,9:00p,New Orleans Pelicans,104,Utah Jazz,94,Box Score,,17899,Vivint Smart Home Arena,
Wed Dec 16 2015,10:30p,Phoenix Suns,103,Golden State Warriors,128,Box Score,,19596,Oracle Arena,
Wed Dec 16 2015,10:30p,Milwaukee Bucks,90,Los Angeles Clippers,103,Box Score,,19060,STAPLES Center,
Thu Dec 17 2015,7:00p,Toronto Raptors,99,Charlotte Hornets,109,Box Score,OT,15817,Time Warner Cable Arena,
Thu Dec 17 2015,8:00p,Oklahoma City Thunder,100,Cleveland Cavaliers,104,Box Score,,20562,Quicken Loans Arena,
Thu Dec 17 2015,10:30p,Houston Rockets,107,Los Angeles Lakers,87,Box Score,,18997,STAPLES Center,
Fri Dec 18 2015,7:00p,Brooklyn Nets,97,Indiana Pacers,104,Box Score,,16548,Bankers Life Fieldhouse,
Fri Dec 18 2015,7:00p,Portland Trail Blazers,94,Orlando Magic,102,Box Score,,17156,Amway Center,
Fri Dec 18 2015,7:00p,New York Knicks,107,Philadelphia 76ers,97,Box Score,,17880,Wells Fargo Center,
Fri Dec 18 2015,7:30p,Atlanta Hawks,109,Boston Celtics,101,Box Score,,18624,TD Garden,
Fri Dec 18 2015,8:00p,Detroit Pistons,147,Chicago Bulls,144,Box Score,4OT,21534,United Center,
Fri Dec 18 2015,8:00p,Toronto Raptors,108,Miami Heat,94,Box Score,,19600,AmericanAirlines Arena,
Fri Dec 18 2015,8:00p,Sacramento Kings,95,Minnesota Timberwolves,99,Box Score,,12770,Target Center,
Fri Dec 18 2015,8:00p,Los Angeles Clippers,107,San Antonio Spurs,115,Box Score,,18418,AT&T Center,
Fri Dec 18 2015,8:30p,Memphis Grizzlies,88,Dallas Mavericks,97,Box Score,,20199,American Airlines Center,
Fri Dec 18 2015,9:00p,Denver Nuggets,88,Utah Jazz,97,Box Score,,19169,Vivint Smart Home Arena,
Fri Dec 18 2015,10:30p,Milwaukee Bucks,112,Golden State Warriors,121,Box Score,,19596,Oracle Arena,
Fri Dec 18 2015,10:30p,New Orleans Pelicans,88,Phoenix Suns,104,Box Score,,17227,Talking Stick Resort Arena,
Sat Dec 19 2015,5:00p,Los Angeles Lakers,78,Oklahoma City Thunder,118,Box Score,,18203,Chesapeake Energy Arena,
Sat Dec 19 2015,7:00p,Charlotte Hornets,101,Washington Wizards,109,Box Score,,16987,Verizon Center,
Sat Dec 19 2015,7:30p,Chicago Bulls,91,New York Knicks,107,Box Score,,19812,Madison Square Garden (IV),
Sat Dec 19 2015,8:00p,Los Angeles Clippers,97,Houston Rockets,107,Box Score,,18212,Toyota Center,
Sat Dec 19 2015,8:00p,Indiana Pacers,84,Memphis Grizzlies,96,Box Score,,18119,FedEx Forum,
Sun Dec 20 2015,1:00p,Minnesota Timberwolves,100,Brooklyn Nets,85,Box Score,,14552,Barclays Center,
Sun Dec 20 2015,1:00p,Portland Trail Blazers,109,Miami Heat,116,Box Score,,19600,AmericanAirlines Arena,
Sun Dec 20 2015,3:30p,Philadelphia 76ers,86,Cleveland Cavaliers,108,Box Score,,20562,Quicken Loans Arena,
Sun Dec 20 2015,5:00p,Milwaukee Bucks,101,Phoenix Suns,95,Box Score,,16859,Talking Stick Resort Arena,
Sun Dec 20 2015,6:00p,Atlanta Hawks,103,Orlando Magic,100,Box Score,,16982,Amway Center,
Sun Dec 20 2015,6:00p,Sacramento Kings,104,Toronto Raptors,94,Box Score,,19800,Air Canada Centre,
Sun Dec 20 2015,8:00p,New Orleans Pelicans,130,Denver Nuggets,125,Box Score,,13857,Pepsi Center,
Mon Dec 21 2015,7:00p,Sacramento Kings,99,Washington Wizards,113,Box Score,,15124,Verizon Center,
Mon Dec 21 2015,7:30p,Minnesota Timberwolves,99,Boston Celtics,113,Box Score,,18624,TD Garden,
