Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
Fri Nov 6 2015,7:30p,Los Angeles Lakers,104,Brooklyn Nets,98,Box Score,,17732,Barclays Center,
Fri Nov 6 2015,7:30p,Philadelphia 76ers,102,Cleveland Cavaliers,108,Box Score,,20562,Quicken Loans Arena,
Fri Nov 6 2015,7:30p,Milwaukee Bucks,99,New York Knicks,92,Box Score,,19812,Madison Square Garden (IV),
Fri Nov 6 2015,8:00p,Miami Heat,87,Indiana Pacers,90,Box Score,,16914,Bankers Life Fieldhouse,
Fri Nov 6 2015,8:00p,Atlanta Hawks,121,New Orleans Pelicans,115,Box Score,,16983,Smoothie King Center,
Fri Nov 6 2015,9:30p,Detroit Pistons,100,Phoenix Suns,92,Box Score,,16676,Talking Stick Resort Arena,
Fri Nov 6 2015,10:30p,Denver Nuggets,104,Golden State Warriors,119,Box Score,,19596,Oracle Arena,
Fri Nov 6 2015,10:30p,Houston Rockets,116,Sacramento Kings,110,Box Score,,16983,Sleep Train Arena,
Sat Nov 7 2015,6:00p,Minnesota Timberwolves,102,Chicago Bulls,93,Box Score,OT,21988,United Center,
Sat Nov 7 2015,7:00p,Orlando Magic,105,Philadelphia 76ers,97,Box Score,,15207,Wells Fargo Center,
Sat Nov 7 2015,7:30p,Washington Wizards,99,Atlanta Hawks,114,Box Score,,18047,Philips Arena,
Sat Nov 7 2015,8:30p,New Orleans Pelicans,98,Dallas Mavericks,107,Box Score,,20454,American Airlines Center,
Sat Nov 7 2015,8:30p,Brooklyn Nets,86,Milwaukee Bucks,94,Box Score,,15228,BMO Harris Bradley Center,
Sat Nov 7 2015,8:30p,Charlotte Hornets,94,San Antonio Spurs,114,Box Score,,18418,AT&T Center,
Sat Nov 7 2015,9:00p,Memphis Grizzlies,79,Utah Jazz,89,Box Score,,19456,Vivint Smart Home Arena,
Sat Nov 7 2015,10:00p,Golden State Warriors,103,Sacramento Kings,94,Box Score,,17317,Sleep Train Arena,
Sat Nov 7 2015,10:30p,Houston Rockets,109,Los Angeles Clippers,105,Box Score,,19361,STAPLES Center,
Sun Nov 8 2015,3:30p,Indiana Pacers,97,Cleveland Cavaliers,101,Box Score,,20562,Quicken Loans Arena,
Sun Nov 8 2015,3:30p,Los Angeles Lakers,95,New York Knicks,99,Box Score,,19812,Madison Square Garden (IV),
Sun Nov 8 2015,6:00p,Toronto Raptors,76,Miami Heat,96,Box Score,,19600,AmericanAirlines Arena,
Sun Nov 8 2015,7:00p,Phoenix Suns,103,Oklahoma City Thunder,124,Box Score,,18203,Chesapeake Energy Arena,
Sun Nov 8 2015,9:00p,Detroit Pistons,120,Portland Trail Blazers,103,Box Score,,19393,Moda Center,
Mon Nov 9 2015,7:00p,Orlando Magic,84,Indiana Pacers,97,Box Score,,13104,Bankers Life Fieldhouse,
Mon Nov 9 2015,7:00p,Chicago Bulls,111,Philadelphia 76ers,88,Box Score,,13879,Wells Fargo Center,
Mon Nov 9 2015,8:00p,Minnesota Timberwolves,117,Atlanta Hawks,107,Box Score,,12016,Philips Arena,
Mon Nov 9 2015,9:00p,Portland Trail Blazers,104,Denver Nuggets,108,Box Score,,9153,Pepsi Center,
Mon Nov 9 2015,10:00p,San Antonio Spurs,106,Sacramento Kings,88,Box Score,,17317,Sleep Train Arena,
Mon Nov 9 2015,10:30p,Detroit Pistons,95,Golden State Warriors,109,Box Score,,19596,Oracle Arena,
Mon Nov 9 2015,10:30p,Memphis Grizzlies,92,Los Angeles Clippers,94,Box Score,,19060,STAPLES Center,
Tue Nov 10 2015,7:00p,Utah Jazz,114,Cleveland Cavaliers,118,Box Score,,20562,Quicken Loans Arena,
Tue Nov 10 2015,7:00p,Oklahoma City Thunder,125,Washington Wizards,101,Box Score,,20356,Verizon Center,
Tue Nov 10 2015,7:30p,Los Angeles Lakers,88,Miami Heat,101,Box Score,,19825,AmericanAirlines Arena,
Tue Nov 10 2015,7:30p,New York Knicks,111,Toronto Raptors,109,Box Score,,19800,Air Canada Centre,
Tue Nov 10 2015,8:00p,Boston Celtics,99,Milwaukee Bucks,83,Box Score,,11822,BMO Harris Bradley Center,
Tue Nov 10 2015,8:00p,Charlotte Hornets,104,Minnesota Timberwolves,95,Box Score,,14722,Target Center,
Tue Nov 10 2015,8:00p,Dallas Mavericks,105,New Orleans Pelicans,120,Box Score,,17128,Smoothie King Center,
Wed Nov 11 2015,7:00p,New York Knicks,93,Charlotte Hornets,95,Box Score,,16643,Time Warner Cable Arena,
Wed Nov 11 2015,7:00p,Los Angeles Lakers,99,Orlando Magic,101,Box Score,,18846,Amway Center,
Wed Nov 11 2015,7:00p,Toronto Raptors,119,Philadelphia 76ers,103,Box Score,,12744,Wells Fargo Center,
Wed Nov 11 2015,7:30p,Indiana Pacers,102,Boston Celtics,91,Box Score,,17879,TD Garden,
Wed Nov 11 2015,8:00p,New Orleans Pelicans,98,Atlanta Hawks,106,Box Score,,15597,Philips Arena,
Wed Nov 11 2015,8:00p,Los Angeles Clippers,108,Dallas Mavericks,118,Box Score,,19805,American Airlines Center,
Wed Nov 11 2015,8:00p,Brooklyn Nets,106,Houston Rockets,98,Box Score,,18155,Toyota Center,
Wed Nov 11 2015,8:00p,Golden State Warriors,100,Memphis Grizzlies,84,Box Score,,18119,FedEx Forum,
Wed Nov 11 2015,9:00p,Milwaukee Bucks,102,Denver Nuggets,103,Box Score,,9403,Pepsi Center,
Wed Nov 11 2015,10:00p,Detroit Pistons,92,Sacramento Kings,101,Box Score,,17317,Sleep Train Arena,
Wed Nov 11 2015,10:30p,San Antonio Spurs,113,Portland Trail Blazers,101,Box Score,,19393,Moda Center,
Thu Nov 12 2015,7:30p,Utah Jazz,91,Miami Heat,92,Box Score,,19600,AmericanAirlines Arena,
Thu Nov 12 2015,8:00p,Golden State Warriors,129,Minnesota Timberwolves,116,Box Score,,16130,Target Center,
Thu Nov 12 2015,10:30p,Los Angeles Clippers,104,Phoenix Suns,118,Box Score,,17204,Talking Stick Resort Arena,
Fri Nov 13 2015,7:00p,Minnesota Timberwolves,103,Indiana Pacers,107,Box Score,,16797,Bankers Life Fieldhouse,
Fri Nov 13 2015,7:00p,Utah Jazz,93,Orlando Magic,102,Box Score,,16709,Amway Center,
Fri Nov 13 2015,7:30p,Atlanta Hawks,93,Boston Celtics,106,Box Score,,17138,TD Garden,
Fri Nov 13 2015,7:30p,Cleveland Cavaliers,90,New York Knicks,84,Box Score,,19812,Madison Square Garden (IV),
Fri Nov 13 2015,7:30p,New Orleans Pelicans,81,Toronto Raptors,100,Box Score,,19800,Air Canada Centre,
Fri Nov 13 2015,8:00p,Charlotte Hornets,97,Chicago Bulls,102,Box Score,,21749,United Center,
Fri Nov 13 2015,8:00p,Portland Trail Blazers,100,Memphis Grizzlies,101,Box Score,,16919,FedEx Forum,
Fri Nov 13 2015,8:00p,Philadelphia 76ers,85,Oklahoma City Thunder,102,Box Score,,18203,Chesapeake Energy Arena,
Fri Nov 13 2015,8:30p,Los Angeles Lakers,82,Dallas Mavericks,90,Box Score,,20260,American Airlines Center,
Fri Nov 13 2015,9:00p,Houston Rockets,98,Denver Nuggets,107,Box Score,,16113,Pepsi Center,
Fri Nov 13 2015,10:00p,Brooklyn Nets,109,Sacramento Kings,111,Box Score,,17131,Sleep Train Arena,
Sat Nov 14 2015,3:30p,Detroit Pistons,96,Los Angeles Clippers,101,Box Score,,19060,STAPLES Center,
Sat Nov 14 2015,7:00p,Orlando Magic,99,Washington Wizards,108,Box Score,,18311,Verizon Center,
Sat Nov 14 2015,8:00p,Dallas Mavericks,110,Houston Rockets,98,Box Score,,18231,Toyota Center,
Sat Nov 14 2015,8:30p,Cleveland Cavaliers,105,Milwaukee Bucks,108,Box Score,2OT,18717,BMO Harris Bradley Center,
Sat Nov 14 2015,8:30p,Philadelphia 76ers,83,San Antonio Spurs,92,Box Score,,18418,AT&T Center,
Sat Nov 14 2015,9:00p,Denver Nuggets,81,Phoenix Suns,105,Box Score,,16722,Talking Stick Resort Arena,
Sat Nov 14 2015,10:30p,Brooklyn Nets,99,Golden State Warriors,107,Box Score,OT,19596,Oracle Arena,
Sun Nov 15 2015,12:00p,New Orleans Pelicans,87,New York Knicks,95,Box Score,,19812,Madison Square Garden (IV),
Sun Nov 15 2015,3:30p,Memphis Grizzlies,114,Minnesota Timberwolves,106,Box Score,,12086,Target Center,
Sun Nov 15 2015,5:00p,Portland Trail Blazers,94,Charlotte Hornets,106,Box Score,,15317,Time Warner Cable Arena,
Sun Nov 15 2015,6:00p,Utah Jazz,97,Atlanta Hawks,96,Box Score,,14436,Philips Arena,
Sun Nov 15 2015,7:00p,Boston Celtics,100,Oklahoma City Thunder,85,Box Score,,18203,Chesapeake Energy Arena,
Sun Nov 15 2015,9:00p,Toronto Raptors,101,Sacramento Kings,107,Box Score,,17006,Sleep Train Arena,
Sun Nov 15 2015,9:30p,Detroit Pistons,85,Los Angeles Lakers,97,Box Score,,18997,STAPLES Center,
Mon Nov 16 2015,7:00p,Dallas Mavericks,92,Philadelphia 76ers,86,Box Score,,11555,Wells Fargo Center,
Mon Nov 16 2015,8:00p,Indiana Pacers,95,Chicago Bulls,96,Box Score,,21660,United Center,
Mon Nov 16 2015,8:00p,Boston Celtics,111,Houston Rockets,95,Box Score,,17005,Toyota Center,
Mon Nov 16 2015,8:00p,Oklahoma City Thunder,114,Memphis Grizzlies,122,Box Score,,17270,FedEx Forum,
Mon Nov 16 2015,8:30p,Portland Trail Blazers,80,San Antonio Spurs,93,Box Score,,18418,AT&T Center,
Mon Nov 16 2015,9:00p,Los Angeles Lakers,101,Phoenix Suns,120,Box Score,,18055,Talking Stick Resort Arena,
Tue Nov 17 2015,7:00p,Milwaukee Bucks,86,Washington Wizards,115,Box Score,,15485,Verizon Center,
Tue Nov 17 2015,7:30p,Atlanta Hawks,88,Brooklyn Nets,90,Box Score,,12241,Barclays Center,
Tue Nov 17 2015,7:30p,Cleveland Cavaliers,99,Detroit Pistons,104,Box Score,,18442,The Palace of Auburn Hills,
Tue Nov 17 2015,7:30p,Minnesota Timberwolves,103,Miami Heat,91,Box Score,,19600,AmericanAirlines Arena,
Tue Nov 17 2015,7:30p,Charlotte Hornets,94,New York Knicks,102,Box Score,,19812,Madison Square Garden (IV),
Tue Nov 17 2015,8:00p,Denver Nuggets,115,New Orleans Pelicans,98,Box Score,,17269,Smoothie King Center,
Tue Nov 17 2015,10:30p,Toronto Raptors,110,Golden State Warriors,115,Box Score,,19596,Oracle Arena,
Wed Nov 18 2015,7:00p,Brooklyn Nets,111,Charlotte Hornets,116,Box Score,,14040,Time Warner Cable Arena,
Wed Nov 18 2015,7:00p,Minnesota Timberwolves,101,Orlando Magic,104,Box Score,OT,16048,Amway Center,
Wed Nov 18 2015,7:00p,Indiana Pacers,112,Philadelphia 76ers,85,Box Score,,11080,Wells Fargo Center,
Wed Nov 18 2015,7:30p,Dallas Mavericks,106,Boston Celtics,102,Box Score,,17262,TD Garden,
Wed Nov 18 2015,8:00p,Sacramento Kings,97,Atlanta Hawks,103,Box Score,,13008,Philips Arena,
Wed Nov 18 2015,8:00p,Portland Trail Blazers,103,Houston Rockets,108,Box Score,OT,17107,Toyota Center,
Wed Nov 18 2015,8:00p,New Orleans Pelicans,103,Oklahoma City Thunder,110,Box Score,,18203,Chesapeake Energy Arena,
Wed Nov 18 2015,8:30p,Denver Nuggets,98,San Antonio Spurs,109,Box Score,,18418,AT&T Center,
Wed Nov 18 2015,9:00p,Toronto Raptors,89,Utah Jazz,93,Box Score,,18741,Vivint Smart Home Arena,
Wed Nov 18 2015,10:30p,Chicago Bulls,103,Phoenix Suns,97,Box Score,,17377,Talking Stick Resort Arena,
Thu Nov 19 2015,7:30p,Sacramento Kings,109,Miami Heat,116,Box Score,,19600,AmericanAirlines Arena,
Thu Nov 19 2015,8:00p,Milwaukee Bucks,100,Cleveland Cavaliers,115,Box Score,,20562,Quicken Loans Arena,
Thu Nov 19 2015,10:30p,Golden State Warriors,124,Los Angeles Clippers,117,Box Score,,19528,STAPLES Center,
Fri Nov 20 2015,7:00p,Philadelphia 76ers,88,Charlotte Hornets,113,Box Score,,17926,Time Warner Cable Arena,
Fri Nov 20 2015,7:30p,Brooklyn Nets,95,Boston Celtics,120,Box Score,,18361,TD Garden,
Fri Nov 20 2015,8:00p,Houston Rockets,84,Memphis Grizzlies,96,Box Score,,17555,FedEx Forum,
Fri Nov 20 2015,8:00p,Detroit Pistons,96,Minnesota Timberwolves,86,Box Score,,13445,Target Center,
Fri Nov 20 2015,8:00p,San Antonio Spurs,90,New Orleans Pelicans,104,Box Score,,16698,Smoothie King Center,
